count,caseopendate
1,2016-08-16 00:00:00
1,2016-08-15 00:00:00
2,2016-08-09 00:00:00
1,2016-08-04 00:00:00
1,2016-08-02 00:00:00
1,2016-07-29 00:00:00
1,2016-07-28 00:00:00
1,2016-07-25 00:00:00
1,2016-07-22 00:00:00
2,2016-07-13 00:00:00
1,2016-07-11 00:00:00
1,2016-07-08 00:00:00
1,2016-07-07 00:00:00
1,2016-07-06 00:00:00
1,2016-07-05 00:00:00
1,2016-06-30 00:00:00
1,2016-06-29 00:00:00
1,2016-06-28 00:00:00
1,2016-06-21 00:00:00
1,2016-06-14 00:00:00
1,2016-06-13 00:00:00
1,2016-06-10 00:00:00
1,2016-06-09 00:00:00
2,2016-06-03 00:00:00
3,2016-06-02 00:00:00
1,2016-05-27 00:00:00
1,2016-05-22 00:00:00
1,2016-05-19 00:00:00
3,2016-05-17 00:00:00
1,2016-05-10 00:00:00
1,2016-05-06 00:00:00
1,2016-05-05 00:00:00
1,2016-05-03 00:00:00
2,2016-05-02 00:00:00
5,2016-04-29 00:00:00
1,2016-04-26 00:00:00
4,2016-04-21 00:00:00
2,2016-04-15 00:00:00
4,2016-04-08 00:00:00
3,2016-04-04 00:00:00
1,2016-03-30 00:00:00
2,2016-03-29 00:00:00
1,2016-03-28 00:00:00
3,2016-03-22 00:00:00
2,2016-03-17 00:00:00
2,2016-03-15 00:00:00
2,2016-03-14 00:00:00
5,2016-03-10 00:00:00
1,2016-02-29 00:00:00
4,2016-02-26 00:00:00
1,2016-02-25 00:00:00
3,2016-02-23 00:00:00
5,2016-02-22 00:00:00
1,2016-02-19 00:00:00
1,2016-02-18 00:00:00
6,2016-02-16 00:00:00
1,2016-02-10 00:00:00
3,2016-02-09 00:00:00
2,2016-02-08 00:00:00
1,2016-02-05 00:00:00
1,2016-02-02 00:00:00
1,2016-01-29 00:00:00
1,2016-01-28 00:00:00
1,2016-01-19 00:00:00
3,2016-01-15 00:00:00
1,2016-01-14 00:00:00
3,2016-01-11 00:00:00
1,2016-01-08 00:00:00
1,2016-01-05 00:00:00
1,2016-01-04 00:00:00
1,2015-12-29 00:00:00
