receiveddate,count
2017-01-10,4
2016-10-30,1
2014-07-01,1
2017-06-02,3
2017-01-22,2
2018-02-05,1
2015-01-16,2
2014-10-11,1
2015-01-23,4
2016-10-16,2
2017-12-27,6
2017-10-04,1
2015-10-02,11
2014-11-25,2
2014-10-22,1
2014-11-30,6
2017-04-22,1
2017-07-06,1
2017-09-10,1
2017-07-07,2
2015-02-24,3
2015-04-23,5
2017-01-29,5
2016-11-05,3
2016-07-30,1
2017-01-06,1
2017-02-21,11
2015-08-23,1
2015-11-26,3
2017-06-04,1
2017-03-15,5
2015-01-18,4
2017-09-26,1
2014-10-24,3
2016-02-29,1
2017-02-09,2
2017-02-23,4
2014-10-31,1
2015-01-31,7
2017-09-22,1
2017-12-06,1
2016-07-02,1
2016-04-01,1
2016-08-17,3
2015-01-29,2
2015-12-28,4
2016-11-26,10
2015-01-30,2
2017-10-13,2
2014-07-30,1
2015-02-04,8
2015-04-16,7
2014-10-27,10
2017-09-24,1
2014-12-08,3
2015-09-29,1
2016-04-28,2
2017-05-11,2
2015-02-13,1
2015-10-07,1
2018-02-11,1
2016-12-22,4
2015-05-26,2
2015-08-19,3
2016-11-12,1
2016-01-12,1
2015-09-05,1
2016-10-23,2
2017-10-24,5
2016-02-06,1
2017-08-03,2
2015-03-19,2
2015-01-07,7
2017-03-20,1
2017-07-13,6
2016-10-11,1
2017-06-09,5
2017-03-13,1
2016-07-04,1
2017-01-23,3
2014-08-26,1
2016-11-18,2
2017-10-17,3
2018-01-30,9
2016-10-06,1
2016-07-26,3
2015-12-30,1
2016-11-13,1
2016-12-23,1
2017-05-05,3
2015-10-30,4
2014-11-13,5
2015-03-16,5
2015-02-21,3
2017-05-07,3
2017-05-23,6
2015-06-17,1
2016-02-02,4
2017-01-03,3
2016-09-20,3
2017-01-30,3
2014-10-17,1
2016-03-09,1
2016-12-14,5
2016-12-24,1
2014-09-13,1
2017-11-22,5
2016-03-02,5
2014-09-16,2
2016-02-07,1
2014-07-10,2
2015-05-11,1
2018-01-23,2
2018-02-21,2
2017-12-21,4
2017-12-03,1
2015-12-05,1
2014-08-11,2
2016-10-03,2
2016-12-06,4
2016-04-23,1
2016-12-13,2
2015-09-24,2
2015-10-18,3
2017-04-12,1
2017-11-13,9
2015-12-14,2
2016-12-18,2
2014-12-22,1
2015-02-06,3
2017-03-09,1
2017-02-01,1
2016-07-22,2
2015-05-21,4
2017-05-15,1
2015-02-05,4
2015-01-03,4
2014-08-18,1
2015-09-10,1
2016-12-27,5
2014-06-24,4
2018-01-16,6
2016-05-02,2
2017-08-13,1
2017-10-31,3
2017-01-17,1
2017-01-09,3
2015-01-14,1
2015-04-29,8
2018-01-19,6
2016-07-21,1
2017-06-03,2
2017-07-12,3
2015-08-05,2
2015-04-14,2
2017-10-11,10
2015-04-20,2
2017-11-19,1
2017-04-20,2
2014-07-21,1
2016-03-12,2
2015-03-04,2
2017-08-08,3
2014-10-06,2
2014-10-13,1
2017-03-04,3
2016-07-14,1
2014-07-27,2
2014-08-01,2
2015-01-22,3
2017-08-18,4
2017-12-19,2
2017-04-07,1
2017-10-29,5
2015-07-14,7
2016-03-16,2
2015-01-04,1
2014-11-18,9
2018-02-06,1
2017-10-22,2
2018-02-22,3
2015-03-09,1
2015-02-17,6
2017-05-21,5
2018-01-07,20
2017-09-08,2
2017-06-26,3
2016-03-23,1
2015-04-13,1
2016-11-08,1
2016-03-22,1
2018-02-18,2
2017-02-05,1
2015-02-27,2
2017-06-23,2
2017-07-14,5
2015-10-31,1
2016-08-29,3
2017-12-14,4
2016-12-17,3
2017-08-09,1
2017-12-26,2
2014-12-09,2
2015-02-20,6
2017-02-04,1
2015-02-11,2
2015-03-06,2
2014-12-12,1
2015-01-21,7
2015-04-22,3
2016-01-27,3
