word	time	filler
"83 EAST 111 STREET"	1016170031	0
"87 EAST 111 STREET"	1016170033	0
"91 EAST 111 STREET"	1016170034	0
"93 EAST 111 STREET"	1016170035	0
"1546 PARK AVENUE"	1016170037	0
"EAST 112 STREET"	1016170038	0
"EAST 112 STREET"	1016170039	0
"EAST 112 STREET"	1016170040	0
"EAST 112 STREET"	1016170041	0
"EAST 112 STREET"	1016170042	0
"EAST 112 STREET"	1016170043	0
"EAST 112 STREET"	1016170045	0
"50 EAST 112 STREET"	1016170046	0
"46 EAST 112 STREET"	1016170048	0
"40 EAST 112 STREET"	1016170050	0
"1691 MADISON AVENUE"	1016170051	0
"1689 MADISON AVENUE"	1016170052	0
"1685 MADISON AVENUE"	1016170053	0
"1683 MADISON AVENUE"	1016170054	0
"1677 MADISON AVENUE"	1016170121	0
"1675 MADISON AVENUE"	1016170122	0
"1337 5 AVENUE"	1016180001	0
"1367 5 AVENUE"	1016180014	0
"1735 MADISON AVENUE"	1016200023	0
"1713 MADISON AVENUE"	1016200040	0
"1403 5 AVENUE"	1016210002	0
"5 EAST 115 STREET"	1016210006	0
"11 EAST 115 STREET"	1016210007	0
"21 EAST 115 STREET"	1016210012	0
"23 EAST 115 STREET"	1016210013	0
"1760 MADISON AVENUE"	1016210014	0
"1759 MADISON AVENUE"	1016210020	0
"1755 MADISON AVENUE"	1016210022	0
"63 EAST 115 STREET"	1016210028	0
"69 EAST 115 STREET"	1016210029	0
"71 EAST 115 STREET"	1016210030	0
"73 EAST 115 STREET"	1016210031	0
"75 EAST 115 STREET"	1016210032	0
"81 EAST 115 STREET"	1016210035	0
"76 EAST 116 STREET"	1016210036	0
"74 EAST 116 STREET"	1016210041	0
"68 EAST 116 STREET"	1016210043	0
"58 EAST 116 STREET"	1016210047	0
"56 EAST 116 STREET"	1016210048	0
"54 EAST 116 STREET"	1016210049	0
"1765 MADISON AVENUE"	1016210050	0
"1761 MADISON AVENUE"	1016210052	0
"24 EAST 116 STREET"	1016210060	0
"20 EAST 116 STREET"	1016210061	0
"18 EAST 116 STREET"	1016210062	0
"16 EAST 116 STREET"	1016210063	0
"14 EAST 116 STREET"	1016210064	0
"12 EAST 116 STREET"	1016210065	0
"10 EAST 116 STREET"	1016210066	0
"1415 5 AVENUE"	1016210069	0
"1413 5 AVENUE"	1016210070	0
"1411 5 AVENUE"	1016210071	0
"60 EAST 116 STREET"	1016210145	0
"4 EAST 116 STREET"	1016210168	0
"1405 5 AVENUE"	1016217501	0
"55 EAST 115 STREET"	1016217502	0
"1421 5 AVENUE"	1016220001	0
"7 EAST 116 STREET"	1016220005	0
"1772 MADISON AVENUE"	1016220017	0
"75 EAST 116 STREET"	1016220020	0
"87 EAST 116 STREET"	1016220029	0
"89 EAST 116 STREET"	1016220030	0
"91 EAST 116 STREET"	1016220031	0
"1640 PARK AVENUE"	1016220033	0
"1642 PARK AVENUE"	1016220034	0
"1644 PARK AVENUE"	1016220035	0
"1646 PARK AVENUE"	1016220036	0
"1652 PARK AVENUE"	1016220037	0
"62 EAST 117 STREET"	1016220043	0
"1781 MADISON AVENUE"	1016220050	0
"1779 MADISON AVENUE"	1016220051	0
"1777 MADISON AVENUE"	1016220052	0
"1775 MADISON AVENUE"	1016220053	0
"1429 5 AVENUE"	1016220073	0
"1668 MADISON AVENUE"	1016227501	0
"1441 5 AVENUE"	1016230001	0
"49 EAST 117 STREET"	1016230024	0
"51 EAST 117 STREET"	1016230025	0
"53 EAST 117 STREET"	1016230026	0
"57 EAST 117 STREET"	1016230027	0
"59 EAST 117 STREET"	1016230029	0
"61 EAST 117 STREET"	1016230030	0
"63 EAST 117 STREET"	1016230031	0
"65 EAST 117 STREET"	1016230032	0
"1660 PARK AVENUE"	1016230033	0
"1662 PARK AVENUE"	1016230034	0
"1664 PARK AVENUE"	1016230035	0
"1672 PARK AVENUE"	1016230039	0
"1674 PARK AVENUE"	1016230040	0
"70 EAST 118 STREET"	1016230041	0
"68 EAST 118 STREET"	1016230042	0
"62 EAST 118 STREET"	1016230043	0
"60 EAST 118 STREET"	1016230044	0
"58 EAST 118 STREET"	1016230045	0
"56 EAST 118 STREET"	1016230047	0
"52 EAST 118 STREET"	1016230048	0
"1 EAST 117 STREET"	1016230102	0
"3 EAST 117 STREET"	1016230103	0
"5 EAST 117 STREET"	1016230105	0
"7 EAST 117 STREET"	1016230106	0
"9 EAST 117 STREET"	1016230107	0
"11 EAST 117 STREET"	1016230108	0
"13 EAST 117 STREET"	1016230109	0
"15 EAST 117 STREET"	1016230110	0
"17 EAST 117 STREET"	1016230111	0
"19 EAST 117 STREET"	1016230112	0
"1784 MADISON AVENUE"	1016230113	0
"1786 MADISON AVENUE"	1016230114	0
"1788 MADISON AVENUE"	1016230115	0
"1790 MADISON AVENUE"	1016230116	0
"1792 MADISON AVENUE"	1016230117	0
"1794 MADISON AVENUE"	1016230118	0
"1796 MADISON AVENUE"	1016230119	0
"1798 MADISON AVENUE"	1016230120	0
"1800 MADISON AVENUE"	1016230121	0
"1802 MADISON AVENUE"	1016230122	0
"20 EAST 118 STREET"	1016230123	0
"18 EAST 118 STREET"	1016230124	0
"16 EAST 118 STREET"	1016230125	0
"14 EAST 118 STREET"	1016230126	0
"12 EAST 118 STREET"	1016230127	0
"10 EAST 118 STREET"	1016230128	0
"8 EAST 118 STREET"	1016230129	0
"6 EAST 118 STREET"	1016230130	0
"4 EAST 118 STREET"	1016230131	0
"2 EAST 118 STREET"	1016230132	0
"1455 5 AVENUE"	1016230133	0
"1453 5 AVENUE"	1016230134	0
"1451 5 AVENUE"	1016230135	0
"1449 5 AVENUE"	1016230136	0
"1447 5 AVENUE"	1016230137	0
"1445 5 AVENUE"	1016230138	0
"1443A 5 AVENUE"	1016230139	0
"1443 5 AVENUE"	1016230140	0
"1441A 5 AVENUE"	1016230141	0
"66 EAST 118 STREET"	1016230142	0
"64 EAST 118 STREET"	1016230143	0
"54 EAST 118 STREET"	1016230147	0
"55 EAST 117 STREET"	1016230226	0
"1787 MADISON AVENUE"	1016237501	0
"1490 LEXINGTON AVENUE"	1016240015	0
"1710 3 AVENUE"	1016240033	0
"158 EAST 97 STREET"	1016240041	0
"156 EAST 97 STREET"	1016240043	0
"154 EAST 97 STREET"	1016240044	0
"1501 LEXINGTON AVENUE"	1016240045	0
"116 EAST 97 STREET"	1016240060	0
"114 EAST 97 STREET"	1016240063	0
"112 EAST 97 STREET"	1016240064	0
"108 EAST 97 STREET"	1016240066	0
"1247 PARK AVENUE"	1016240069	0
"110 EAST 97 STREET"	1016247501	0
"1255 PARK AVENUE"	1016250001	0
"1257 PARK AVENUE"	1016250002	0
"1259 PARK AVENUE"	1016250003	0
"1261 PARK AVENUE"	1016250004	0
"103 EAST 97 STREET"	1016250005	0
"105 EAST 97 STREET"	1016250006	0
"115 EAST 97 STREET"	1016250007	0
"119 EAST 97 STREET"	1016250009	0
"121 EAST 97 STREET"	1016250010	0
"1504 LEXINGTON AVENUE"	1016250013	0
"1510 LEXINGTON AVENUE"	1016250016	0
"1509 LEXINGTON AVENUE"	1016250020	0
"1507 LEXINGTON AVENUE"	1016250021	0
"1505 LEXINGTON AVENUE"	1016250022	0
"1503 LEXINGTON AVENUE"	1016250023	0
"143 EAST 97 STREET"	1016250024	0
"145 EAST 97 STREET"	1016250025	0
"147 EAST 97 STREET"	1016250026	0
"149 EAST 97 STREET"	1016250027	0
"151 EAST 97 STREET"	1016250028	0
"1768 3 AVENUE"	1016250033	0
"148 EAST 98 STREET"	1016250046	0
"146 EAST 98 STREET"	1016250047	0
